epsilon,U,U_xi
0.01,0.00014597698411896053,0.00014671995237393185
0.01,0.00014627071923049436,0.00014701518249083854
0.01,0.00014656504540351355,0.00014731100667754075
0.01,0.0001468599638166802,0.0001476074261186998
0.01,0.00014715547564865625,0.00014790444199897672
0.01,0.00014745158207810465,0.00014820205550303349
0.01,0.00014774828428652505,0.00014850026781838352
0.01,0.00014804558347976884,0.00014879908015701554
0.01,0.0001483434808759027,0.0001490984937431961
0.01,0.00014864197769307686,0.00014939850980127552
0.01,0.0001489410751494426,0.0001496991295556051
0.01,0.00014924077446315043,0.00015000035423053554
0.01,0.00014954107685235068,0.00015030218505041743
0.01,0.00014984198353519475,0.00015060462323960208
0.01,0.00015014349572983296,0.00015090767002244013
0.01,0.0001504456146544159,0.0001512113266232822
0.01,0.00015074834152709483,0.00015151559426647968
0.01,0.00015105167756601984,0.00015182047417638283
0.01,0.0001513556239893423,0.00015212596757734314
0.01,0.00015166018201521263,0.00015243207569371115
0.01,0.00015196535286178132,0.0001527387997498375
0.01,0.0001522711377471996,0.00015304614097007353
0.01,0.00015257753788993158,0.00015335410057908512
0.01,0.00015288455452442147,0.00015366267981759945
0.01,0.00015319218890791296,0.00015397187994925946
0.01,0.00015350044229936797,0.00015428170223943482
0.01,0.00015380931595774912,0.00015459214795349608
0.01,0.00015411881114201832,0.00015490321835681304
0.01,0.00015442892911113738,0.00015521491471475536
0.01,0.00015473967112406906,0.00015552723829269358
0.01,0.00015505103843977487,0.00015584019035599719
0.01,0.00015536303231721758,0.00015615377217003675
0.01,0.00015567565401535894,0.0001564679850001819
0.01,0.00015598890479316086,0.00015678283011180252
0.01,0.00015630278590958604,0.000157098308770269
0.01,0.00015661729862359632,0.00015741442224095114
0.01,0.00015693244419415355,0.00015773117178921866
0.01,0.0001572482238802204,0.00015804855868044212
0.01,0.0001575646389407583,0.0001583665841799907
0.01,0.00015788169064113094,0.0001586852495596687
0.01,0.00015819938027487066,0.0001590045561195922
0.01,0.000158517709143118,0.00015932450516752434
0.01,0.00015883667854701438,0.00015964509801122908
0.01,0.00015915628978770035,0.0001599663359584695
0.01,0.00015947654416631642,0.0001602882203170088
0.01,0.00015979744298400404,0.00016061075239461083
0.01,0.0001601189875419034,0.00016093393349903847
0.01,0.000160441179141156,0.00016125776493805573
0.01,0.00016076401908290229,0.00016158224801942565
0.01,0.00016108750866828287,0.0001619073840509113
0.01,0.00016141164919843912,0.0001622331743402768
